hole_ID,x,y,z
H-4,548461.16,3624003.37,957.07
H-5,548480.38,3623999.56,957.07
H-6,548479.5,3623995.29,957.07
HK-1,548410.59,3625087.46,1283.21
HN-1,549062.07,3623053.9,1319.44
HN-10,548643.84,3623062.51,1408.03
HN-11,549494.11,3623075.32,1401.71
HN-12,548455.28,3624049.13,1277.35
HN-13,547681.09,3624106.28,1274.37
HN-14,548216.54,3624002.05,1321.16
HN-15,547498.63,3623059.96,1312.17
HN-16,548457.31,3623056.38,1402.48
HN-17,548342.12,3624032.59,1323.14
HN-18,548410.71,3624065.72,1305.16
HN-19,548702.24,3623294.77,1301.17
HN-2,548869.12,3623218.44,1305.6
HN-20,549274.57,3623534.54,1359.78
HN-3,549114.37,3623574.51,1328.69
HN-4,548931.71,3622972.91,1336.54
HN-5,549507.32,3623448.06,1324.61
HN-6,548857.21,3623072.89,1329.08
HN-7,548791.22,3623169.16,1333.69
HN-8,548897.1,3623706.47,1216.43
HN-9,549255.73,3622870.86,1343.32
L-10,549785.68,3623467.61,1283.21
L-12,549669.36,3623266.86,1345.69
L-19,549619.86,3623363.04,1341.12
L-25,548619.3,3622026.96,1308.05
L-27,550005.19,3623638.41,1307.9
LB-1,548430.94,3624155.94,1304.39
LM-1,548415.86,3623720.31,1152.76
LM-10,548425.57,3623725.26,1153.06
LM-11,548419.16,3623726.73,1152.76
LM-2,548416.78,3623720.01,1152.76
LM-3,548416.79,3623718.48,1152.76
LM-4,548413.73,3623720.9,1152.76
LM-5,548420.8,3623726.99,1152.76
LM-6,548419.8,3623726.52,1152.76
LM-7,548412.66,3623719.85,1152.76
LM-8,548420.2,3623730.73,1152.76
LM-9,548419.75,3623728.87,1152.76
LS-58,547922.8,3622850.05,1280.77
LS-72,547336.42,3623038.57,1298.76
M-22,548566.48,3624558.05,1334.72
M-28,550450.59,3623711.33,1402.39
M22-1R,548570.7,3624554.56,1335.58
MB-1,548988.81,3624414.54,1343.26
MB-2,548987.77,3624415.11,1343.26
MB-2A,548987.6,3624413.31,1343.26
MET-1CK,548408.95,3623719.03,1152.74
MET-2CA,548435.47,3624093.34,1294.18
MET-3CA,548436.06,3624096.39,1294.18
MET-4CA,548434.91,3624087.39,1294.18
MET-5CK,548470.28,3623772.22,1156.55
NE-1,548917.14,3622423.47,1292.96
NE-10,548430.56,3623726.62,1153.01
NE-2,548732.77,3623629.27,1217.39
NE-3,547086.82,3623937.72,1173.46
NE-4,548824.73,3623560.65,1216.12
NE-5,548532.71,3623746.52,1160.25
NE-6,548465.37,3623528.96,1275.45
NE-7,548791.86,3623788.16,1170.43
NE-8,548633.75,3623633.22,1278.64
NE-9,548819.02,3623898.04,1200.91
OG-1,548119.38,3624774.45,1231.7
OG-2,548147.76,3624807.57,1233.53
OOR1,547680.32,3624050.54,1263.4
OOR2,547849.57,3623891.02,1162.81
OOR3,547719.46,3624069.88,1264.92
OOR4,547666.53,3623982.19,1248.16
OOR5,547719.46,3624069.88,1264.92
OOR6,547680.32,3624050.54,1263.4
OP-1,548095.25,3624589.96,1255.78
OR-1,547684.9,3624028.34,1249.21
OR-10R,547685.13,3623986.81,1239.45
OR-11R,547709.05,3624005.34,1239.9
OR-12R,547692.32,3624003.28,1239.63
OR-13,547701.02,3624016.81,1240.45
OR-13R,547701.02,3624016.81,1240.25
OR-14,547719.87,3624017.33,1239.82
OR-14R,547719.87,3624017.33,1239.62
OR-15,547707.54,3623995.83,1240.27
OR-15R,547707.54,3623995.83,1240.07
OR-16,547714.74,3624010.57,1240.27
OR-16R,547714.74,3624010.57,1240.07
OR-17,547711.57,3624027.32,1239.62
OR-17R,547711.57,3624027.32,1239.62
OR-18R,547675.08,3623979.51,1239.62
OR-19R,547680.47,3623992.96,1239.62
OR-1R,547684.9,3624028.34,1249.01
OR-20R,547675.71,3624016.37,1248.77
OR-21R,547667.23,3624009.91,1248.77
OR-22R,547694,3623975.09,1239.62
OR-23R,547706.12,3623984.33,1239.62
OR-24R,547718.23,3623993.87,1239.62
OR-25R,547730.04,3624003.1,1239.62
OR-26R,547719.35,3623967.37,1235.36
OR-27R,547729.92,3623978.72,1235.36
OR-28R,547741.73,3623988.57,1235.36
OR-29R,547665.7,3623972.12,1239.62
OR-2R,547698.28,3623988.76,1239.62
OR-30R,547719.58,3624053.58,1241.15
OR-31R,547744.72,3624034.28,1240.54
OR-32R,547746.69,3624016.02,1240.54
OR-3R,547699.21,3623987.58,1239.62
OR-4R,547687.52,3624001.24,1239.62
OR-5R,547711.65,3623997.18,1239.93
OR-6R,547699.7,3624011.36,1239.93
OR-7R,547724.61,3624028.86,1240.23
OR-8R,547714.45,3624040.41,1240.54
OR-9R,547735.26,3624016.94,1240.54
OR1,547694.53,3623985.45,1168.91
OR10,547681.78,3624017.95,1136.91
OR11,547669.79,3624013.89,1136.91
OR12,547702.09,3624032.73,1136.91
OR13,547714.89,3624011.81,1136.91
OR16,547685.7,3624062.76,1138.43
OR17,547767.17,3623968.05,1138.43
OR18,547769.02,3623965.93,1138.43
OR2,547698.49,3623985.64,1168.91
OR3,547684.18,3623984.31,1168.91
OR4,547759.32,3623959.15,1138.43
OR7,547708.86,3624004.75,1138.43
OR9,547689.95,3624025.93,1138.43
PB-1R,548295.85,3624216.63,1245.31
PB-2R,548296.92,3624216.71,1245.35
PB-3R,548293.54,3624223.26,1245.2
PB-4R,548296.35,3624222.68,1245.41
PB-5R,548287.64,3624232.43,1244.38
PB30_PLUS_14,548129.48,3624179.71,1229.82
PB34_PLUS_14,548232.02,3624169.14,1249.21
PB38_PLUS_14,548232.02,3624169.14,1249.21
PC1,548767.33,3623867.21,1200.25
PO-1R,548936.54,3623865.23,1213.2
R-1-1X,547299.08,3625769.48,1399.1
R-2,547292.51,3625733.33,1397.35
R-3,547404.53,3625881.34,1401.17
RAE-07-016,548639.12,3623623.05,1277.77
RAE-07-017,548676.03,3623457.56,1276.9
RAE-07-018,548729.65,3623495.06,1270.48
RAE-07-019,548918.92,3623388.94,1254.94
RAE-07-020,549123.73,3623270.12,1294.31
RAE-07-021,548958.66,3622877.92,1357.73
RAE-07-022,548741.96,3622995.59,1394.01
RAE-08-023,548787.71,3622903.41,1378.87
RAE-08-024,548878.64,3622933.76,1363.03
RAE-08-025,549154.61,3622832.84,1355.55
RAE-08-029,549554.01,3623194.75,1415.05
RAE-08-032,549602.87,3623312.74,1352.62
RAE-08-045,549435.64,3623349.98,1368.55
RAE-11-054,548854.42,3623463.9,1252.12
RAE-11-055,548846.29,3623293.84,1310.46
RAE-11-056,548949.03,3623151.47,1294.08
RAE-11-057,548961.41,3623124.38,1293.88
RAE-11-058,549058.34,3623484.75,1306.83
RAE-11-059,549052.18,3623409.68,1301.5
RAE-11-060,549119.98,3623526.62,1337.17
RAE-11-061,549204.92,3623025.48,1371.14
RAE-11-062,549258.8,3623432.23,1373.76
RAE-11-063,549164.26,3623118.14,1354.65
RAE-11-064,549372.14,3623127.59,1388.27
RAE-11-066,548949.11,3623152.39,1294.08
RAISE1,547706.08,3624026.97,1243.59
RAISE2,547703.04,3624026.95,1243.59
RCP-08-026,548097.55,3624586.04,1255.39
RCP-08-027,548098.36,3624586.73,1255.39
RCP-08-028,548095.83,3624586.01,1255.39
RCP-08-030,548096.61,3624586.95,1255.24
RCP-08-038,548099.69,3624587.49,1255.39
RD-1,547684.37,3624019.49,1167.39
RD-2,547710.33,3624021.67,1167.39
RD-3,547705.95,3624043.59,1253.34
REX-10-046,547702.7,3622570.79,1257.21
REX-10-047,547810.23,3623434.46,1176.65
REX-10-048,547032.09,3624756.21,1330.55
REX-10-049,547627.47,3624523.37,1275.27
REX-10-049B,547627.47,3624523.37,1275.07
REX-10-050,549885.52,3622282.7,1399.87
