hole_ID,x,y,z
TS061,441941.06,7004303.71,1612.56
TS062,441941.06,7004303.71,1612.56
TS063,441895.06,7004551.73,1535.67
TS064,441861.68,7004529.33,1530.11
TS065,441932.16,7004559.05,1540.93
TS066,441955.68,7004568.78,1548.26
TS067,441681.02,7004585.88,1435.97
TS068,440444.12,7005201.6,1289.84
TS069,440739.01,7005311.69,1341.91
TS070,440979.71,7005347.43,1377.47
TS071,441191.67,7005255.29,1408.67
TS072,441588.75,7004945.72,1484.21
TS073,442232.38,7003475.43,1615.8
TS074,442394.72,7003570.9,1642.23
TS075,442617.06,7004276.35,1892.76
TS076,442617.06,7004276.35,1892.76
TS077,442433.33,7003630.31,1646.05
TS078,442481.51,7003582.74,1667.68
TS079,442447.08,7003520.92,1663.49
TS080,442446.28,7003521.95,1663.3
TS081,442474.19,7003680.67,1671.805
TS082,442505.44,7003804.5,1750.98
TS083,442025.34,7003802.99,1533.85
TS084,442025.34,7003802.99,1533.85
TS085,441972.11,7003908.32,1536
TS086,441972.11,7003908.32,1536
TS087,441911.39,7004019.38,1538.65
TS088,441911.39,7004019.38,1538.65
TS089,442003.4,7004302.16,1656.18
TS090,442003.4,7004302.16,1656.18
TS091,441991.78,7004358.47,1633.93
TS091W1,441991.78,7004358.47,1633.93
TS092,441991.78,7004358.47,1633.93
TS093,442168.82,7003483.72,1606.63
TS17-001,441827.01,7003906.5,1484.276
TS17-002,442020.95,7003824.91,1535.558
TS17-003,442021.79,7003825.11,1535.656
TS17-004,442017.56,7003756.7,1531.475
TS17-005,441874.6,7004026.96,1522.195
TS17-006,441904.42,7003735.32,1530.292
TS17-007,442016.13,7004270.63,1662.452
TS18-001,442015.72,7003369.15,1686.713
TS18-002,441774.74,7003477.13,1635.87
TS18-003,442092.63,7003486.62,1613.177
TS18-004,442254.99,7004494.09,1682.921
TS18-005,441986.23,7003626.21,1577.181
TS18-006,442089.96,7003486.33,1612.939
TS18-007,441902.87,7004055.95,1538.928
TS18-008,442022.34,7003608.88,1579.217
TS18-009,441875.87,7004111.45,1538.339
TS18-010,442254.58,7004491.26,1683.159
TS18-011,441901.55,7004055.5,1538.927
TS18-012,442022.21,7003608.84,1579.216
TS18-013,442405.47,7003953.84,1724.016
TS18-014,442043.55,7003581.03,1583.273
TS19-001,441686.25,7004447.51,1442.154
TS19-002,441716.43,7004332.2,1465.872
TS19-003,441628.32,7004602.4,1416.88
TS19-004,442043.43,7003582.05,1583.24
TS19-005,441803.53,7004294.77,1519.149
TS19-006,441803.31,7004294.68,1519.132
TS19-007,442002.34,7004363,1637.678
TS19-008,441746.7,7004540.67,1474.073
TS19-009,441770.21,7004425.67,1487.214
TS19-010,440256,7005942.9,1210.747
TS21-001,442063.565,7004321.926,1678.467
TS21-002,442197,7004428,1688
TS21-003,442198.908,7004430.65,1687.613
TS22-001,441993.566,7003679.43,1545.328
TS22-002,442063.105,7004321.887,1676.818
TS22-003,441994.476,7003679.688,1545.135
TS22-004,441993.148,7003679.283,1545.297
TS22-005,442045.631,7003766.554,1532.517
TS22-006,442043.595,7003581.813,1581.415
TS22-007,441942.864,7003968.854,1537.629
TS22-008,441944.537,7003969.549,1537.55
TS22-009,442043.027,7003581.28,1581.236
TS23-001,441763.39,7004227.102,1493.321
TS23-002,441762.631,7004227.038,1493.18
TS23-003,441677.233,7004024.725,1444.617
TS23-004,441693.435,7003883.42,1463.124
TS23-005,441760.199,7003769.868,1508.186
TS23-006,441779.519,7004076.289,1483.005
TS23-007,441778.816,7004076.37,1482.867
TS23-008,441815.087,7003716.131,1536.465
TS23-009,442363.009,7003105.99,1747.29
TS23-009D1,442363.009,7003105.99,1747.29
TS23-009D2,442363.009,7003105.99,1747.29
TS88-001,441882.78,7003417.71,1634.41
TS88-002,442231.54,7003323.66,1716.15
TS88-003,442539.59,7003410.87,1742.29
TS88-004,441869.2,7003328.2,1607.08
TS88-004W1,441869.2,7003328.2,1607.08
TS89-005,442438.26,7003210.89,1746.63
TS89-006,442695.89,7003619.48,1757.26
TS89-007,441975.17,7003247.23,1653.89
TS89-007W1,441975.17,7003247.23,1653.89
TS89-008,441001.35,7005641.19,1392.28
TS90-009,442035.25,7003189.91,1656.96
TS90-009W1,442035.25,7003189.91,1656.96
TS90-010,442855.14,7003254.59,1847.5
TS90-011,442407.82,7003333.58,1719.14
TS90-012,442055.58,7002956.65,1712.5
TS91-013,441917.57,7004016.86,1538.65
TS91-014,442045.79,7003766.54,1534.77
TS91-015,442251.91,7004493.1,1683
TS91-016,439827.06,7005130.58,1259.285
TS91-017,440767.96,7005739.66,1311.703
