hole_ID,depth_from,depth_to,Ag_ppm,Al_ppm,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_ppm,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_ppm,Ga_ppm,Ge_ppm,Hf_ppm,Hg_ppm,In_ppm,La_ppm,Li_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Pd_ppm,Pt_ppm,Rb_ppm,Re_ppm,S_ppm,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm
WWRC093,4,6,0,,37,0.003,100,0.5,0,,0,,36,210,,103,,20,,,,,10,,,1010,0,,147,110,4,0.005,0,,,,0,31,,,95,,,0,,0,0,228,0,,97,
WWRC093,6,8,0,,20,0.002,110,0,0,,0,,38,162,,93,,10,,,,,10,,,1330,0,,125,90,3,0.003,0,,,,0,32,,,89,,,0,,0,0,216,0,,102,
WWRC093,8,10,0,,35,0.002,80,0.5,0,,0,,42,158,,109,,20,,,,,0,,,1070,0,,149,150,0,0.004,0,,,,0,30,,,65,,,0,,0,0,211,0,,106,
WWRC093,10,12,0.5,,26,0.001,190,0.5,2,,0,,42,215,,97,,20,,,,,0,,,953,0,,174,80,4,0.006,0,,,,0,34,,,84,,,0,,0,0,210,0,,102,
WWRC093,12,14,0,,53,0.001,230,0.60000002,2,,0,,60,350,,137,,10,,,,,10,,,811,0,,315,100,6,0.009,0.005,,,,0,37,,,94,,,0,,0,0,230,0,,106,
WWRC093,14,15,0,,21,0.003,90,0,4,,0,,49,329,,62,,10,,,,,20,,,1320,0,,201,90,5,0.007,0.006,,,,0,34,,,117,,,0,,0,0,204,0,,89,
WWRC093,15,16,0,,67,0.001,10,0,0,,0,,97,1760,,103,,10,,,,,0,,,1190,0,,979,50,0,0.01,0.009,,,,0,26,,,10,,,0,,10,0,150,0,,135,
WWRC093,16,17,0,,38,0.017000001,10,0,0,,0,,111,2060,,99,,10,,,,,0,,,965,0,,1060,30,0,0.061000001,0.057999998,,,,0,25,,,5,,,0,,10,0,147,0,,155,
WWRC093,17,18,0.5,,11,0.002,10,0.60000002,2,,0,,130,1810,,118,,10,,,,,0,,,1080,0,,997,20,0,0.009,0.013,,,,0,22,,,4,,,0,,0,0,132,0,,106,
WWRC093,18,19,0.5,,16,0.004,10,0,0,,0,,143,1490,,35,,10,,,,,0,,,1360,0,,854,20,0,0.01,0.011,,,,0,24,,,6,,,0,,0,0,147,0,,99,
WWRC093,19,20,0.60000002,,10,0.001,40,0,0,,0,,85,1170,,22,,10,,,,,10,,,1520,0,,593,50,0,0.011,0.011,,,,0,27,,,88,,,0,,0,0,188,0,,101,
WWRC093,20,21,0,,21,0.001,30,0,0,,0,,94,935,,43,,10,,,,,10,,,1490,0,,568,90,0,0.012,0.013,,,,0,29,,,116,,,0,,0,0,197,0,,126,
WWRC093,21,22,0,,75,0.017000001,20,0.5,2,,0,,132,1630,,34,,10,,,,,0,,,1290,0,,1070,40,0,0.011,0.009,,,,0,22,,,14,,,0,,20,0,137,0,,121,
WWRC093,22,23,0.60000002,,41,0.006,110,0.5,3,,0,,155,1600,,84,,10,,,,,0,,,2220,0,,986,50,0,0.013,0.014,,,,0,30,,,28,,,0,,0,0,171,0,,119,
WWRC093,23,24,0,,26,0.005,40,0,2,,0,,128,1500,,59,,10,,,,,0,,,1780,0,,1140,50,0,0.01,0.015,,,,0,24,,,28,,,0,,0,0,137,0,,78,
WWRC093,24,25,0,,43,0.002,260,0,4,,0,,242,1620,,42,,10,,,,,0,,,5460,0,,1610,40,0,0.015,0.015,,,,0,23,,,42,,,0,,0,0,135,0,,91,
WWRC093,25,26,0.5,,69,0.030999999,30,0,2,,0,,128,1800,,70,,10,,,,,10,,,1120,0,,1420,40,0,0.014,0.011,,,,0,30,,,71,,,0,,0,0,163,0,,97,
WWRC093,26,27,0.60000002,,17,0.009,40,0,2,,0,,67,671,,45,,10,,,,,0,,,1440,0,,360,170,0,0.014,0.015,,,,0,28,,,271,,,0,,0,0,192,0,,68,
WWRC093,27,28,0.5,,95,0.014,40,0,0,,0,,119,1510,,48,,10,,,,,0,,,1290,0,,1200,60,0,0.012,0.008,,,,0,33,,,74,,,0,,0,0,172,0,,97,
WWRC093,28,29,0.60000002,,125,0.003,210,0,0,,0,,177,1480,,43,,10,,,,,0,,,5360,0,,1330,80,0,0.014,0.012,,,,0,26,,,112,,,0,,0,0,162,0,,75,
WWRC093,29,30,0,,218,0.006,110,0,0,,0,,157,1470,,95,,10,,,,,0,,,2900,0,,1210,70,0,0.01,0.015,,,,0,23,,,96,,,0,,10,0,153,10,,73,
WWRC093,30,31,0.5,,168,0.008,30,0.80000001,3,,0,,77,1410,,85,,10,,,,,10,,,1120,0,,842,100,0,0.011,0.011,,,,0,26,,,104,,,0,,10,0,153,0,,92,
WWRC093,31,32,0.5,,168,0.016000001,100,0.5,4,,0,,133,1350,,41,,10,,,,,0,,,1760,0,,1060,90,0,0.015,0.011,,,,0,29,,,181,,,0,,0,0,166,0,,99,
WWRC093,32,33,0.60000002,,195,0.005,60,0,5,,0,,118,1500,,50,,10,,,,,0,,,2110,0,,1180,150,0,0.01,0.014,,,,0,24,,,140,,,0,,0,0,148,0,,68,
WWRC093,33,34,0.5,,82,0.004,20,0,0,,0,,90,1560,,52,,10,,,,,0,,,805,0,,1170,160,3,0.008,0.012,,,,0,24,,,170,,,0,,10,0,141,0,,62,
WWRC093,34,35,0.60000002,,121,0.004,50,0,2,,0,,129,1560,,65,,10,,,,,0,,,2040,0,,1260,170,0,0.01,0.01,,,,0,24,,,163,,,0,,10,0,146,0,,70,
WWRC093,35,36,0.5,,118,0.002,160,0,3,,0,,151,1130,,37,,10,,,,,0,,,1740,0,,1140,130,0,0.014,0.013,,,,0,30,,,91,,,0,,0,0,153,0,,88,
WWRC093,36,37,0.5,,119,0.008,60,0.5,3,,0,,100,1500,,44,,10,,,,,0,,,1230,0,,1030,80,0,0.011,0.01,,,,0,29,,,166,,,0,,0,0,157,0,,79,
WWRC093,37,38,0.5,,70,0.001,300,0,2,,0,,102,1320,,66,,10,,,,,0,,,2240,0,,1030,100,0,0.017000001,0.013,,,,0,29,,,178,,,0,,0,0,157,0,,67,
WWRC093,38,39,0.5,,102,0.001,200,0,3,,0,,100,1370,,98,,10,,,,,0,,,1420,0,,1150,100,2,0.012,0.012,,,,0,30,,,142,,,0,,0,0,164,0,,74,
WWRC093,39,40,0.5,,121,0.001,190,0,0,,0,,105,1190,,120,,10,,,,,0,,,1250,0,,1165,150,7,0.014,0.012,,,,0,32,,,119,,,0,,0,0,169,0,,80,
WWRC093,40,41,0.60000002,,74,0.003,70,0,0,,0,,89,1130,,66,,10,,,,,0,,,1250,1,,940,150,2,0.013,0.016000001,,,,0,31,,,108,,,0,,0,0,163,0,,70,
WWRC093,41,42,0.5,,32,0.006,60,0,0,,0,,86,1140,,43,,10,,,,,0,,,1350,0,,878,190,3,0.011,0.012,,,,0,32,,,115,,,0,,0,0,166,0,,69,
WWRC093,42,43,0.60000002,,55,0.002,130,0,0,,0,,89,1230,,21,,10,,,,,0,,,1310,0,,875,190,0,0.011,0.012,,,,0,27,,,84,,,0,,10,0,155,0,,69,
WWRC093,43,44,0.69999999,,48,0.006,40,0,0,,0,,82,1390,,20,,10,,,,,0,,,1430,0,,833,180,0,0.01,0.012,,,,0,27,,,117,,,0,,0,0,160,0,,67,
WWRC093,44,45,0.80000001,,18,0.003,100,0,0,,0,,80,1120,,6,,10,,,,,0,,,1390,0,,817,170,2,0.01,0.015,,,,0,27,,,93,,,0,,10,0,144,0,,62,
WWRC093,45,46,0.60000002,,15,0.003,20,0,0,,0,,75,1190,,41,,10,,,,,0,,,1310,0,,786,160,0,0.01,0.016000001,,,,0,25,,,76,,,0,,0,0,143,0,,58,
WWRC093,46,47,0.5,,25,0.004,60,0,2,,0,,80,1280,,66,,10,,,,,0,,,1330,0,,808,180,0,0.01,0.012,,,,0,27,,,68,,,0,,0,0,149,0,,67,
WWRC093,47,48,0,,7,0.007,230,0,0,,0,,70,1150,,81,,10,,,,,0,,,1150,0,,500,190,2,0.01,0.013,,,,0,25,,,145,,,0,,10,0,163,0,,59,
WWRC093,48,49,0,,18,0.003,250,0.60000002,0,,0,,57,678,,55,,10,,,,,10,,,1060,0,,333,180,10,0.011,0.01,,,,0,25,,,156,,,0,,0,0,145,0,,60,
WWRC093,49,50,0,,22,0.006,440,0.5,0,,0,,66,753,,55,,10,,,,,0,,,1360,0,,336,240,10,0.015,0.017999999,,,,0,34,,,263,,,0,,10,0,198,0,,63,
WWRC093,50,51,0.5,,43,0,20,0,2,,0,,118,2310,,62,,10,,,,,0,,,1360,0,,1690,160,0,0.011,0.013,,,,0,31,,,111,,,0,,10,0,149,0,,72,
WWRC093,51,52,0.60000002,,7,0.001,20,0,0,,0,,95,1660,,16,,0,,,,,0,,,892,0,,1560,110,0,0.008,0.01,,,,0,18,,,118,,,0,,0,0,95,0,,39,
WWRC093,52,53,0,,7,0,10,0,0,,0,,97,1780,,67,,0,,,,,0,,,1240,0,,1590,110,0,0.008,0.012,,,,0,18,,,166,,,0,,0,0,100,0,,42,
