anumber,companyholeid,companysampleid,fromdepth,todepth,Ag_PPM,Al_PPM,As_PPM,Au_PPM,Ba_PPM,Be_PPM,Bi_PPM,Ca_PPM,Cd_PPM,Ce_PPM,Co_PPM,Cr_PPM,Cs_PPM,Cu_PPM,Fe_PPM,Ga_PPM,Ge_PPM,Hf_PPM,Hg_PPM,In_PPM,La_PPM,Li_PPM,Mg_PPM,Mn_PPM,Mo_PPM,Nb_PPM,Ni_PPM,P_PPM,Pb_PPM,Pd_PPM,Pt_PPM,Rb_PPM,Re_PPM,S_PPM,Sb_PPM,Sc_PPM,Se_PPM,Sn_PPM,Sr_PPM,Ta_PPM,Te_PPM,Th_PPM,Ti_PPM,Tl_PPM,U_PPM,V_PPM,W_PPM,Y_PPM,Zn_PPM,Zr_PPM
101533,BD049,ASW69468,235.60001,236.39999,,,8.0,0.0020000001,,,,,,,60.0,307.0,,109.0,,,,,,,,,,,,,243.0,,,0.011,0.012,,,,,,,,,,,,,,,,,,172.0,
101533,BD049,ASW69469,236.39999,237.2,,,0.0,0.0,,,,,,,68.0,775.0,,63.0,,,,,,,,,,,,,568.0,,,0.0089999996,0.0099999998,,,,,,,,,,,,,,,,,,124.0,
101533,BD049,ASW69470,242.7,243.8,,,0.0,0.001,,,,,,,49.0,40.0,,87.0,,,,,,,,,,,,,83.0,,,0.013,0.012,,,,,,,,,,,,,,,,,,122.0,
101533,BD049,ASW69471,243.8,244.8,,,6.0,0.0020000001,,,,,,,46.0,32.0,,82.0,,,,,,,,,,,,,79.0,,,0.0099999998,0.013,,,,,,,,,,,,,,,,,,103.0,
101533,BD049,ASW69472,244.8,245.8,,,0.0,0.0020000001,,,,,,,48.0,60.0,,87.0,,,,,,,,,,,,,92.0,,,0.012,0.012,,,,,,,,,,,,,,,,,,105.0,
101533,BD049,ASW69473,245.8,246.8,,,0.0,0.001,,,,,,,45.0,28.0,,60.0,,,,,,,,,,,,,74.0,,,0.011,0.013,,,,,,,,,,,,,,,,,,102.0,
101533,BD049,ASW69475,275.0,276.0,,,0.0,0.0049999999,,,,,,,47.0,50.0,,49.0,,,,,,,,,,,,,72.0,,,0.0089999996,0.0099999998,,,,,,,,,,,,,,,,,,91.0,
101533,BD049,ASW69476,276.0,277.0,,,5.0,0.0,,,,,,,45.0,53.0,,21.0,,,,,,,,,,,,,71.0,,,0.0099999998,0.011,,,,,,,,,,,,,,,,,,82.0,
101533,BD049,ASW69477,277.0,278.0,,,0.0,0.0,,,,,,,45.0,49.0,,95.0,,,,,,,,,,,,,68.0,,,0.0099999998,0.0099999998,,,,,,,,,,,,,,,,,,87.0,
101533,BD049,ASW69478,278.0,279.29999,,,0.0,0.0020000001,,,,,,,45.0,50.0,,47.0,,,,,,,,,,,,,71.0,,,0.0099999998,0.015,,,,,,,,,,,,,,,,,,73.0,
101533,BD050,ASW69889,117.5,118.5,,,16.0,0.0,,,,,,,110.0,1670.0,,8.0,,,,,,,,,,,,,1880.0,,,0.0020000001,0.0,,,,,,,,,,,,,,,,,,47.0,
101533,BD050,ASW69890,118.5,119.5,,,17.0,0.001,,,,,,,120.0,1870.0,,1.0,,,,,,,,,,,,,1960.0,,,0.0020000001,0.0,,,,,,,,,,,,,,,,,,29.0,
101533,BD050,ASW69891,124.5,125.5,,,24.0,0.0020000001,,,,,,,108.0,1030.0,,1.0,,,,,,,,,,,,,2100.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,20.0,
101533,BD050,ASW69892,125.5,126.5,,,15.0,0.001,,,,,,,111.0,1980.0,,7.0,,,,,,,,,,,,,2100.0,,,0.001,0.0,,,,,,,,,,,,,,,,,,79.0,
101533,BD050,ASW69893,131.5,132.5,,,20.0,0.001,,,,,,,121.0,1390.0,,2.0,,,,,,,,,,,,,2280.0,,,0.0020000001,0.0,,,,,,,,,,,,,,,,,,40.0,
101533,BD050,ASW69894,132.5,133.5,,,19.0,0.001,,,,,,,121.0,1330.0,,1.0,,,,,,,,,,,,,2360.0,,,0.0020000001,0.0,,,,,,,,,,,,,,,,,,39.0,
101533,BD050,ASW69895,138.5,139.5,,,15.0,0.003,,,,,,,102.0,2460.0,,0.0,,,,,,,,,,,,,1970.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,39.0,
