ogc_fid,id,holeid,companyholeid,longitude,latitude,dataset,holetype,azimuth,dip,maxdepth,anumber,company,geom,x,y,elevation
1995741,3277103,101533ForrestaniaWLL002,WLL002,119.687739602748,-32.4336857754604,,DD,304.29999,-55.5,453.23001,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000DE7DF7EC03EC5D40E12BF703833740C0,7107.180743738056,21791.52864353671,0.0
1995742,3277104,101533ForrestaniaWLL003,WLL003,119.685827478036,-32.4353559524813,,DD,272.39999,-60.200001,279.32001,101533,NEWEXCO SERVICES PTY LTD,0101000020E61000003837EF98E4EB5D4058036DBEB93740C0,6894.934900706872,21606.138994216217,0.0
1995743,3277105,101533ForrestaniaWLL004,WLL004,119.689192234482,-32.42853943624,,DD,269.39999,-50.200001,342.76999,101533,NEWEXCO SERVICES PTY LTD,0101000020E610000078F0BEB91BEC5D403AD95761DA3640C0,7268.422866211737,22362.772297000625,0.0
1995744,3277106,101533ForrestaniaWLL005,WLL005,119.692757016232,-32.4311475772498,,DD,269.79999,-71.099998,652.15997,101533,NEWEXCO SERVICES PTY LTD,0101000020E61000009F32862156EC5D40CE0404D82F3740C0,7664.113640461806,22073.268644912652,0.0
1995745,3277107,101533ForrestaniaWLL006,WLL006,119.684595571089,-32.43795116285,,DD,269.79999,-50.700001,327.23001,101533,NEWEXCO SERVICES PTY LTD,0101000020E61000001434F169D0EB5D40CCD7A0C80E3840C0,6758.193229590077,21318.070643290943,0.0
1995746,3277108,101533ForrestaniaWLL007,WLL007,119.689670272099,-32.4245888161591,,DD,268.0,-60.099998,264.51999,101533,NEWEXCO SERVICES PTY LTD,0101000020E610000012ECC78E23EC5D404AD323ED583640C0,7321.485041698778,22801.291125980533,0.0
1995747,3277109,101533ForrestaniaWLL008,WLL008,119.685651391228,-32.4379502798926,,DD,270.89999,-64.900002,267.94,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000FF715FB6E1EB5D40D5B438C10E3840C0,6875.389265019208,21318.1686515625,0.0
1995748,3277110,101533ForrestaniaWLL009,WLL009,119.690847539202,-32.4355490005577,,DD,273.29999,-69.800003,531.95001,101533,NEWEXCO SERVICES PTY LTD,0101000020E610000042D998D836EC5D40B499D411C03740C0,7452.161690132115,21584.710657736105,0.0
1995749,3277111,101533ForrestaniaWLL010,WLL010,119.69161836692,-32.4251044285357,,DD,269.89999,-78.699997,385.22,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000FFCEAE7943EC5D4009F968D2693640C0,7537.723566830124,22744.05815217841,0.0
1995750,3277112,101533ForrestaniaWLL011,WLL011,119.690043730647,-32.4376247484117,,DD,268.79999,-72.099998,607.16998,101533,NEWEXCO SERVICES PTY LTD,0101000020E610000014FC2DAD29EC5D409B2C7716043840C0,7362.938940528082,21354.302645942043,0.0
1995729,3277091,101533ForrestaniaSFD008,SFD008,119.672211663082,-32.5382747250108,,DD,295.0,-59.900002,168.39999,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000533B118405EB5D40A717AA2FE64440C0,5383.5794408119855,10182.15524344184,0.0
1995786,3277148,101533ForrestaniaWBD201,WBD201,119.677826529417,-32.4611219710461,,DD,275.60001,-60.599998,384.92999,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000430D868261EB5D40168E740B063B40C0,6006.829603997943,18746.110933523974,0.0
1995787,3277149,101533ForrestaniaWBD202,WBD202,119.677825417554,-32.4611562591161,,DD,257.60001,-67.199997,360.67001,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000B032DC7D61EB5D40EB9F152B073B40C0,6006.706187204955,18742.304957753462,0.0
1995789,3277151,101533ForrestaniaWWRC092,WWRC092,119.68223380575,-32.4807634368956,,RC,271.20001,-69.400002,196.0,101533,NEWEXCO SERVICES PTY LTD,0101000020E610000000FBFAB7A9EB5D40224A03A8893D40C0,6496.037276960707,16565.90822422914,0.0
1995790,3277152,101533ForrestaniaWWRC093,WWRC093,119.682173668904,-32.4796691642218,,RC,270.0,-68.800003,190.0,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000A488BFBBA8EB5D40BB9D96CC653D40C0,6489.362087054431,16687.37249102135,0.0
1995820,3277182,101533ForrestaniaNMD165,NMD165,119.682079188138,-32.4562823134512,,DD,272.04999,-58.240002,324.67001,101533,NEWEXCO SERVICES PTY LTD,0101000020E61000007095772FA7EB5D4010027775673A40C0,6478.874722029005,19283.31292655786,0.0
1995821,3277183,101533ForrestaniaNMD167,NMD167,119.681552460897,-32.4580725911568,,DD,269.42999,-55.169998,309.28,101533,NEWEXCO SERVICES PTY LTD,0101000020E6100000E683368E9EEB5D40311B671FA23A40C0,6420.407998276957,19084.592101236012,0.0
1995822,3277184,101533ForrestaniaNMD168,NMD168,119.681558497862,-32.4580721018229,,DD,269.07999,-66.580002,360.62,101533,NEWEXCO SERVICES PTY LTD,0101000020E610000034A888A79EEB5D4009454C1BA23A40C0,6421.078101392439,19084.64641729887,0.0
1995823,3277185,101533ForrestaniaNMD171,NMD171,119.680271597241,-32.4583958267636,,DD,271.20999,-55.439999,125.85,101533,NEWEXCO SERVICES PTY LTD,0101000020E61000000FA3E19189EB5D404949E6B6AC3A40C0,6278.232132461795,19048.712948881246,0.0
