ogc_fid,id,collarid,holeid,anumber,companyholeid,company,maxdepth,depth,hfield,calcdip,calcazi,wkb_geometry
1218730,3277156,3277156,101533ForrestaniaBD051,101533,BD051,NEWEXCO SERVICES PTY LTD,438.60001,438.60001,GSWA_Azi,-80.18,269.78,
1218731,3277097,3277097,101533ForrestaniaBSD025,101533,BSD025,NEWEXCO SERVICES PTY LTD,403.07001,403.07001,GSWA_Azi,-74.300003,197.6,
1218732,3277099,3277099,101533ForrestaniaLAD054,101533,LAD054,NEWEXCO SERVICES PTY LTD,492.70999,492.70999,GSWA_Azi,-60.0,88.5,
1218734,3277164,3277164,101533ForrestaniaNID006,101533,NID006,NEWEXCO SERVICES PTY LTD,192.8,192.8,GSWA_Azi,-60.0,269.596,
1218735,3277174,3277174,101533ForrestaniaNMD151,101533,NMD151,NEWEXCO SERVICES PTY LTD,720.59998,720.59998,GSWA_Azi,-74.82,271.82,
1278524,3277154,3277154,101533ForrestaniaBD049,101533,BD049,NEWEXCO SERVICES PTY LTD,283.79999,283.79999,GSWA_Azi,-60.75,272.45,
1504391,3277096,3277096,101533ForrestaniaBSD024,101533,BSD024,NEWEXCO SERVICES PTY LTD,434.60001,434.60001,GSWA_Azi,-70.699997,221.3,
1504392,3277172,3277172,101533ForrestaniaNMD148,101533,NMD148,NEWEXCO SERVICES PTY LTD,519.84998,519.84998,GSWA_Azi,-65.849998,272.49,
1538618,3277153,3277153,101533ForrestaniaBD048,101533,BD048,NEWEXCO SERVICES PTY LTD,354.73999,354.73999,GSWA_Azi,-60.549999,273.79,
1538619,3277094,3277094,101533ForrestaniaBSAC003,101533,BSAC003,NEWEXCO SERVICES PTY LTD,33.0,33.0,GSWA_Azi,-60.0,226.0,
1538620,3277098,3277098,101533ForrestaniaBSD026,101533,BSD026,NEWEXCO SERVICES PTY LTD,345.97,345.97,GSWA_Azi,-70.300003,232.2,
1686699,3277158,3277158,101533ForrestaniaBD052W1,101533,BD052W1,NEWEXCO SERVICES PTY LTD,330.70001,330.70001,GSWA_Azi,-59.860001,269.21,
1686700,3277093,3277093,101533ForrestaniaBSAC002,101533,BSAC002,NEWEXCO SERVICES PTY LTD,35.0,35.0,GSWA_Azi,-60.0,210.0,
1686701,3277167,3277167,101533ForrestaniaNMD141,101533,NMD141,NEWEXCO SERVICES PTY LTD,592.08002,592.08002,GSWA_Azi,-60.939999,276.06,
1686702,3277168,3277168,101533ForrestaniaNMD144,101533,NMD144,NEWEXCO SERVICES PTY LTD,700.06,700.06,GSWA_Azi,-78.120003,266.47,
1686703,3277175,3277175,101533ForrestaniaNMD153,101533,NMD153,NEWEXCO SERVICES PTY LTD,336.20999,336.20999,GSWA_Azi,-62.93,271.71,
524463,3638314,3638314,102924ForrestaniaNH12-02,102924,NH12-02,Cassini Resources Limited,4.0,4.0,GSWA_Azi,-90.0,0.0,
448807,3665918,3665918,102386HydenZK100-1,102386,ZK100-1,Goldstone Resources Pty Ltd,351.14999,351.14999,GSWA_Azi,-75.0,225.0,
496721,3277135,3277135,101533ForrestaniaNMD183,101533,NMD183,NEWEXCO SERVICES PTY LTD,214.07001,214.07001,GSWA_Azi,-73.800003,267.5,
654553,3277182,3277182,101533ForrestaniaNMD165,101533,NMD165,NEWEXCO SERVICES PTY LTD,324.67001,324.67001,GSWA_Azi,-58.240002,272.05,
654554,3277186,3277186,101533ForrestaniaNMD174,101533,NMD174,NEWEXCO SERVICES PTY LTD,248.98,248.98,GSWA_Azi,-74.019997,271.86,
654555,3277187,3277187,101533ForrestaniaNMD175,101533,NMD175,NEWEXCO SERVICES PTY LTD,416.29999,416.29999,GSWA_Azi,-71.709999,270.78,
654556,3277189,3277189,101533ForrestaniaNMD179,101533,NMD179,NEWEXCO SERVICES PTY LTD,144.03999,144.03999,GSWA_Azi,-69.970001,242.13,
654558,3277102,3277102,101533ForrestaniaWLL001,101533,WLL001,NEWEXCO SERVICES PTY LTD,228.37,228.37,GSWA_Azi,-60.700001,269.0,
654559,3277107,3277107,101533ForrestaniaWLL006,101533,WLL006,NEWEXCO SERVICES PTY LTD,327.23001,327.23001,GSWA_Azi,-50.700001,269.8,
654560,3277110,3277110,101533ForrestaniaWLL009,101533,WLL009,NEWEXCO SERVICES PTY LTD,531.95001,531.95001,GSWA_Azi,-69.800003,273.3,
831023,3277190,3277190,101533ForrestaniaNMD180,101533,NMD180,NEWEXCO SERVICES PTY LTD,179.92999,179.92999,GSWA_Azi,-63.84,271.82,
831025,3277162,3277162,101533ForrestaniaVLLD032,101533,VLLD032,NEWEXCO SERVICES PTY LTD,294.5,294.5,GSWA_Azi,-60.0,269.517,
831026,3277152,3277152,101533ForrestaniaWWRC093,101533,WWRC093,NEWEXCO SERVICES PTY LTD,190.0,190.0,GSWA_Azi,-68.800003,270.0,
